Country,Category,Year,value
Germany,Education,1996,0.23700000000000004
Germany,Restaurants and hotels,1996,5.4060000000000015
Germany,Miscellaneous goods and services,1996,5.817000000000001
Greece,Food and non-alcoholic beverages,1996,
Greece,"Alcoholic Beverages, Tobacco, and Narcotics",1996,
Greece,Clothing and footwear,1996,
Greece,"Housing, Water, Electricity, Gas and Other Fuels",1996,
Greece,"Furnishings, household equipment and routine household maintenance",1996,
Greece,Health,1996,
Greece,Transport,1996,
Greece,Communication,1996,
Greece,Recreation and culture,1996,
Greece,Education,1996,
Greece,Restaurants and hotels,1996,
Greece,Miscellaneous goods and services,1996,
Hungary,Food and non-alcoholic beverages,1996,25.617
Hungary,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.864000000000001
Hungary,Clothing and footwear,1996,8.087000000000002
Hungary,"Housing, Water, Electricity, Gas and Other Fuels",1996,13.511000000000001
Hungary,"Furnishings, household equipment and routine household maintenance",1996,7.127
Hungary,Health,1996,1.519
Hungary,Transport,1996,13.259000000000002
Hungary,Communication,1996,1.9350000000000003
Hungary,Recreation and culture,1996,9.051
Hungary,Education,1996,0.33799999999999997
Hungary,Restaurants and hotels,1996,8.294
Hungary,Miscellaneous goods and services,1996,4.398
Iceland,Food and non-alcoholic beverages,1996,20.77
Iceland,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.952000000000001
Iceland,Clothing and footwear,1996,7.3
Iceland,"Housing, Water, Electricity, Gas and Other Fuels",1996,10.077
Iceland,"Furnishings, household equipment and routine household maintenance",1996,7.501999999999999
Iceland,Health,1996,0.931
Iceland,Transport,1996,18.732
Iceland,Communication,1996,1.6489999999999998
Iceland,Recreation and culture,1996,14.411999999999999
Iceland,Education,1996,0.191
Iceland,Restaurants and hotels,1996,6.487000000000001
Iceland,Miscellaneous goods and services,1996,7.997
Ireland,Food and non-alcoholic beverages,1996,23.27776722232778
Ireland,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.8379316206837935
Ireland,Clothing and footwear,1996,7.189928100718994
Ireland,"Housing, Water, Electricity, Gas and Other Fuels",1996,8.543914560854391
Ireland,"Furnishings, household equipment and routine household maintenance",1996,5.839941600583995
Ireland,Health,1996,0.7099929000709992
Ireland,Transport,1996,12.149878501214987
Ireland,Communication,1996,1.4929850701492986
Ireland,Recreation and culture,1996,11.986880131198689
Ireland,Education,1996,0.6699933000669993
Ireland,Restaurants and hotels,1996,17.145828541714582
Ireland,Miscellaneous goods and services,1996,4.154958450415496
Italy,Food and non-alcoholic beverages,1996,19.743999999999996
Italy,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.0179999999999993
Italy,Clothing and footwear,1996,11.748999999999999
Italy,"Housing, Water, Electricity, Gas and Other Fuels",1996,9.945999999999998
Italy,"Furnishings, household equipment and routine household maintenance",1996,9.982999999999999
Italy,Health,1996,1.5969999999999998
Italy,Transport,1996,12.623999999999999
Italy,Communication,1996,1.7839999999999998
Italy,Recreation and culture,1996,8.584999999999997
Italy,Education,1996,0.8630000000000001
Italy,Restaurants and hotels,1996,11.697999999999999
Italy,Miscellaneous goods and services,1996,8.408999999999999
Latvia,Food and non-alcoholic beverages,1996,41.98241982419824
Latvia,"Alcoholic Beverages, Tobacco, and Narcotics",1996,5.772057720577205
Latvia,Clothing and footwear,1996,8.767087670876709
Latvia,"Housing, Water, Electricity, Gas and Other Fuels",1996,15.983159831598318
Latvia,"Furnishings, household equipment and routine household maintenance",1996,3.176031760317603
Latvia,Health,1996,3.3150331503315034
Latvia,Transport,1996,7.121071210712106
Latvia,Communication,1996,1.236012360123601
Latvia,Recreation and culture,1996,5.501055010550105
Latvia,Education,1996,0.8060080600806008
Latvia,Restaurants and hotels,1996,3.544035440354403
Latvia,Miscellaneous goods and services,1996,2.796027960279603
Lithuania,Food and non-alcoholic beverages,1996,51.63248367516324
Lithuania,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.201937980620192
Lithuania,Clothing and footwear,1996,10.205897941020588
Lithuania,"Housing, Water, Electricity, Gas and Other Fuels",1996,15.44284557154428
Lithuania,"Furnishings, household equipment and routine household maintenance",1996,2.517974820251797
Lithuania,Health,1996,1.3739862601373984
Lithuania,Transport,1996,4.1769582304176955
Lithuania,Communication,1996,0.7709922900770991
Lithuania,Recreation and culture,1996,2.8079719202807962
Lithuania,Education,1996,0.3189968100318996
Lithuania,Restaurants and hotels,1996,2.861971380286197
Lithuania,Miscellaneous goods and services,1996,1.6879831201687976
Luxembourg,Food and non-alcoholic beverages,1996,16.2
Luxembourg,"Alcoholic Beverages, Tobacco, and Narcotics",1996,2.9100000000000006
Luxembourg,Clothing and footwear,1996,11.730000000000002
Luxembourg,"Housing, Water, Electricity, Gas and Other Fuels",1996,13.270000000000001
Luxembourg,"Furnishings, household equipment and routine household maintenance",1996,12.030000000000001
Luxembourg,Health,1996,0.27999999999999997
Luxembourg,Transport,1996,16.09
Luxembourg,Communication,1996,1.7000000000000002
Luxembourg,Recreation and culture,1996,13.76
Luxembourg,Education,1996,0.34
Luxembourg,Restaurants and hotels,1996,6.36
Luxembourg,Miscellaneous goods and services,1996,5.33
Malta,Food and non-alcoholic beverages,1996,18.391632167356654
Malta,"Alcoholic Beverages, Tobacco, and Narcotics",1996,4.755904881902362
Malta,Clothing and footwear,1996,7.0538589228215445
Malta,"Housing, Water, Electricity, Gas and Other Fuels",1996,7.281854362912742
Malta,"Furnishings, household equipment and routine household maintenance",1996,10.766784664306714
Malta,Health,1996,2.9749405011899763
Malta,Transport,1996,13.559728805423891
Malta,Communication,1996,0.9509809803803924
Malta,Recreation and culture,1996,6.25187496250075
Malta,Education,1996,1.0629787404251916
Malta,Restaurants and hotels,1996,20.958580828383433
Malta,Miscellaneous goods and services,1996,5.990880182396352
Netherlands,Food and non-alcoholic beverages,1996,16.525000000000002
Netherlands,"Alcoholic Beverages, Tobacco, and Narcotics",1996,5.015
Netherlands,Clothing and footwear,1996,7.761
Netherlands,"Housing, Water, Electricity, Gas and Other Fuels",1996,19.028
Netherlands,"Furnishings, household equipment and routine household maintenance",1996,10.045
Netherlands,Health,1996,0.682
Netherlands,Transport,1996,14.257
Netherlands,Communication,1996,2.4989999999999997
Netherlands,Recreation and culture,1996,13.731000000000002
Netherlands,Education,1996,0.475
Netherlands,Restaurants and hotels,1996,5.2170000000000005
Netherlands,Miscellaneous goods and services,1996,4.765
Norway,Food and non-alcoholic beverages,1996,17.014659706805865
Norway,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.4589308213835728
Norway,Clothing and footwear,1996,7.321853562928742
Norway,"Housing, Water, Electricity, Gas and Other Fuels",1996,18.161636767264653
Norway,"Furnishings, household equipment and routine household maintenance",1996,8.52982940341193
Norway,Health,1996,0.7419851602967941
Norway,Transport,1996,20.32359352812944
Norway,Communication,1996,2.149957000859983
Norway,Recreation and culture,1996,14.06471870562589
Norway,Education,1996,0.1759964800703986
Norway,Restaurants and hotels,1996,4.548909021819564
Norway,Miscellaneous goods and services,1996,3.507929841403172
Poland,Food and non-alcoholic beverages,1996,34.406
Poland,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.5040000000000004
Poland,Clothing and footwear,1996,7.439
Poland,"Housing, Water, Electricity, Gas and Other Fuels",1996,18.182
Poland,"Furnishings, household equipment and routine household maintenance",1996,4.767
Poland,Health,1996,3.7329999999999997
Poland,Transport,1996,8.654
Poland,Communication,1996,1.524
Poland,Recreation and culture,1996,5.868
Poland,Education,1996,0.984
Poland,Restaurants and hotels,1996,2.508
Poland,Miscellaneous goods and services,1996,5.431
Portugal,Food and non-alcoholic beverages,1996,29.5
Portugal,"Alcoholic Beverages, Tobacco, and Narcotics",1996,4.53
Portugal,Clothing and footwear,1996,10.36
Portugal,"Housing, Water, Electricity, Gas and Other Fuels",1996,7.31
Portugal,"Furnishings, household equipment and routine household maintenance",1996,7.88
Portugal,Health,1996,0.5599999999999999
Portugal,Transport,1996,17.81
Portugal,Communication,1996,1.2
Portugal,Recreation and culture,1996,3.8799999999999994
Portugal,Education,1996,0.08
Portugal,Restaurants and hotels,1996,12.17
Portugal,Miscellaneous goods and services,1996,4.720000000000001
Romania,Food and non-alcoholic beverages,1996,45.584455844558434
Romania,"Alcoholic Beverages, Tobacco, and Narcotics",1996,4.566045660456604
Romania,Clothing and footwear,1996,13.734137341373412
Romania,"Housing, Water, Electricity, Gas and Other Fuels",1996,8.024080240802405
Romania,"Furnishings, household equipment and routine household maintenance",1996,7.3000730007300065
Romania,Health,1996,1.4500145001450013
Romania,Transport,1996,7.012070120701207
Romania,Communication,1996,0.9940099400994008
Romania,Recreation and culture,1996,5.900059000590005
Romania,Education,1996,0.3010030100301002
Romania,Restaurants and hotels,1996,3.202032020320203
Romania,Miscellaneous goods and services,1996,1.9320193201932017
Slovak Republic,Food and non-alcoholic beverages,1996,23.845999999999997
Slovak Republic,"Alcoholic Beverages, Tobacco, and Narcotics",1996,5.8
Slovak Republic,Clothing and footwear,1996,13.184
Slovak Republic,"Housing, Water, Electricity, Gas and Other Fuels",1996,9.334
Slovak Republic,"Furnishings, household equipment and routine household maintenance",1996,12.531999999999998
Slovak Republic,Health,1996,0.8179999999999998
Slovak Republic,Transport,1996,8.320999999999998
Slovak Republic,Communication,1996,0.5599999999999999
Slovak Republic,Recreation and culture,1996,7.912
Slovak Republic,Education,1996,0.38799999999999996
Slovak Republic,Restaurants and hotels,1996,12.495999999999997
Slovak Republic,Miscellaneous goods and services,1996,4.809
Slovenia,Food and non-alcoholic beverages,1996,27.490000000000002
Slovenia,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.1000000000000005
Slovenia,Clothing and footwear,1996,9.190000000000001
Slovenia,"Housing, Water, Electricity, Gas and Other Fuels",1996,12.110000000000001
Slovenia,"Furnishings, household equipment and routine household maintenance",1996,8.000000000000002
Slovenia,Health,1996,0.65
Slovenia,Transport,1996,15.840000000000002
Slovenia,Communication,1996,1.32
Slovenia,Recreation and culture,1996,6.580000000000001
Slovenia,Education,1996,0.8400000000000001
Slovenia,Restaurants and hotels,1996,7.13
Slovenia,Miscellaneous goods and services,1996,7.750000000000002
Spain,Food and non-alcoholic beverages,1996,27.545275452754524
Spain,"Alcoholic Beverages, Tobacco, and Narcotics",1996,3.1800318003180035
Spain,Clothing and footwear,1996,11.435114351143511
Spain,"Housing, Water, Electricity, Gas and Other Fuels",1996,11.195111951119511
Spain,"Furnishings, household equipment and routine household maintenance",1996,6.4680646806468065
Spain,Health,1996,0.7230072300723008
Spain,Transport,1996,14.563145631456315
Spain,Communication,1996,1.5830158301583015
Spain,Recreation and culture,1996,6.930069300693006
Spain,Education,1996,0.12400124001240012
Spain,Restaurants and hotels,1996,11.780117801178012
Spain,Miscellaneous goods and services,1996,4.473044730447304
Sweden,Food and non-alcoholic beverages,1996,18.098999999999997
Sweden,"Alcoholic Beverages, Tobacco, and Narcotics",1996,6.265999999999999
Sweden,Clothing and footwear,1996,6.965999999999998
Sweden,"Housing, Water, Electricity, Gas and Other Fuels",1996,21.025999999999996
Sweden,"Furnishings, household equipment and routine household maintenance",1996,6.446999999999998
Sweden,Health,1996,0.7089999999999999
Sweden,Transport,1996,17.880999999999997
Sweden,Communication,1996,2.9299999999999997
Sweden,Recreation and culture,1996,10.835999999999999
Sweden,Education,1996,0.16899999999999996
Sweden,Restaurants and hotels,1996,4.651
Sweden,Miscellaneous goods and services,1996,4.02
Switzerland,Food and non-alcoholic beverages,1996,
Switzerland,"Alcoholic Beverages, Tobacco, and Narcotics",1996,
Switzerland,Clothing and footwear,1996,
Switzerland,"Housing, Water, Electricity, Gas and Other Fuels",1996,
Switzerland,"Furnishings, household equipment and routine household maintenance",1996,
Switzerland,Health,1996,
Switzerland,Transport,1996,
Switzerland,Communication,1996,
Switzerland,Recreation and culture,1996,
Switzerland,Education,1996,
Switzerland,Restaurants and hotels,1996,
Switzerland,Miscellaneous goods and services,1996,
Turkey,Food and non-alcoholic beverages,1996,32.02635947281055
Turkey,"Alcoholic Beverages, Tobacco, and Narcotics",1996,2.468950620987581
Turkey,Clothing and footwear,1996,11.931761364772706
Turkey,"Housing, Water, Electricity, Gas and Other Fuels",1996,16.101677966440676
Turkey,"Furnishings, household equipment and routine household maintenance",1996,9.478810423791526
Turkey,Health,1996,3.1519369612607755
Turkey,Transport,1996,11.356772864542709
Turkey,Communication,1996,1.8119637607247858
Turkey,Recreation and culture,1996,3.73992520149597
Turkey,Education,1996,1.420971580568389
Turkey,Restaurants and hotels,1996,3.6699266014679717
Turkey,Miscellaneous goods and services,1996,2.8409431811363777
United Kingdom,Food and non-alcoholic beverages,1996,15.6
United Kingdom,"Alcoholic Beverages, Tobacco, and Narcotics",1996,7.000000000000001
United Kingdom,Clothing and footwear,1996,6.7
United Kingdom,"Housing, Water, Electricity, Gas and Other Fuels",1996,13.4
United Kingdom,"Furnishings, household equipment and routine household maintenance",1996,9.0
United Kingdom,Health,1996,0.7000000000000001
United Kingdom,Transport,1996,15.4
United Kingdom,Communication,1996,2.1
United Kingdom,Recreation and culture,1996,13.100000000000001
United Kingdom,Education,1996,1.0999999999999999
United Kingdom,Restaurants and hotels,1996,11.1
United Kingdom,Miscellaneous goods and services,1996,4.8
Austria,Food and non-alcoholic beverages,1997,14.144000000000002
Austria,"Alcoholic Beverages, Tobacco, and Narcotics",1997,3.941
Austria,Clothing and footwear,1997,8.226
Austria,"Housing, Water, Electricity, Gas and Other Fuels",1997,14.022000000000002
Austria,"Furnishings, household equipment and routine household maintenance",1997,9.758000000000001
Austria,Health,1997,0.41000000000000003
Austria,Transport,1997,14.849000000000004
Austria,Communication,1997,2.233
Austria,Recreation and culture,1997,11.369000000000002
Austria,Education,1997,0.24100000000000002
Austria,Restaurants and hotels,1997,15.817
Austria,Miscellaneous goods and services,1997,4.990000000000001
Belgium,Food and non-alcoholic beverages,1997,20.210000000000004
Belgium,"Alcoholic Beverages, Tobacco, and Narcotics",1997,3.8530000000000006
Belgium,Clothing and footwear,1997,8.689
Belgium,"Housing, Water, Electricity, Gas and Other Fuels",1997,15.707
Belgium,"Furnishings, household equipment and routine household maintenance",1997,9.137000000000002
Belgium,Health,1997,0.868
Belgium,Transport,1997,13.620000000000001
Belgium,Communication,1997,2.454
Belgium,Recreation and culture,1997,12.489
Belgium,Education,1997,0.0
Belgium,Restaurants and hotels,1997,7.063
Belgium,Miscellaneous goods and services,1997,5.910000000000001
Bulgaria,Food and non-alcoholic beverages,1997,48.672999999999995
Bulgaria,"Alcoholic Beverages, Tobacco, and Narcotics",1997,3.782
Bulgaria,Clothing and footwear,1997,8.761
Bulgaria,"Housing, Water, Electricity, Gas and Other Fuels",1997,12.009999999999998
Bulgaria,"Furnishings, household equipment and routine household maintenance",1997,5.218999999999999
Bulgaria,Health,1997,2.211
Bulgaria,Transport,1997,9.283999999999999
Bulgaria,Communication,1997,0.6419999999999999
Bulgaria,Recreation and culture,1997,2.335
Bulgaria,Education,1997,0.4639999999999999
Bulgaria,Restaurants and hotels,1997,3.1709999999999994
Bulgaria,Miscellaneous goods and services,1997,3.447999999999999
Croatia,Food and non-alcoholic beverages,1997,
Croatia,"Alcoholic Beverages, Tobacco, and Narcotics",1997,
Croatia,Clothing and footwear,1997,
Croatia,"Housing, Water, Electricity, Gas and Other Fuels",1997,
Croatia,"Furnishings, household equipment and routine household maintenance",1997,
Croatia,Health,1997,
Croatia,Transport,1997,
Croatia,Communication,1997,
Croatia,Recreation and culture,1997,
Croatia,Education,1997,
Croatia,Restaurants and hotels,1997,
Croatia,Miscellaneous goods and services,1997,
Cyprus,Food and non-alcoholic beverages,1997,24.738752612473874
Cyprus,"Alcoholic Beverages, Tobacco, and Narcotics",1997,2.723972760272397
Cyprus,Clothing and footwear,1997,12.576874231257687
Cyprus,"Housing, Water, Electricity, Gas and Other Fuels",1997,6.306936930630694
Cyprus,"Furnishings, household equipment and routine household maintenance",1997,6.8859311406885935
Cyprus,Health,1997,1.4079859201407985
Cyprus,Transport,1997,23.667763322366778
Cyprus,Communication,1997,1.6069839301606985
Cyprus,Recreation and culture,1997,6.1089389106108944
Cyprus,Education,1997,0.5139948600513995
Cyprus,Restaurants and hotels,1997,7.189928100718994
Cyprus,Miscellaneous goods and services,1997,6.271937280627194
Czech Republic,Food and non-alcoholic beverages,1997,27.483999999999998
Czech Republic,"Alcoholic Beverages, Tobacco, and Narcotics",1997,5.2620000000000005
